CONCESIONARIO|CODINTERNO|IDLOCALID|DIRECCION|CAPACIDAD|APROVECHAB|SERIAL|FECVIGDES|FECHAINSTA|LONGITUD|LATITUD|NOVUBICACI|FECHANOVED
Ciudad LÌmpia (ASE03)|24-0849|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2023-03-31
Ciudad LÌmpia (ASE03)|24-0618|8|CL 57I SUR No 77I 71|2400|N||2025-11-01 00:00:00||-74.17367388699995|4.6047598400000425|UC|2018-11-30
Ciudad LÌmpia (ASE03)|24-0532|8|CL 58B SUR No 77J 21|2400|N||2025-11-01 00:00:00||-74.17514648199995|4.605121826000072|UC|2018-12-17
Ciudad LÌmpia (ASE03)|24-0613|8|CL 58 SUR No 77H 63|2400|N||2025-11-01 00:00:00||-74.17416173399994|4.604570857000056|UC|2018-11-30
Ciudad LÌmpia (ASE03)|24-0563|8|CL 57C SUR No 77H 26|2400|N||2025-11-01 00:00:00||-74.17271907599996|4.604417894000051|UC|2018-12-17
Ciudad LÌmpia (ASE03)|24-0512|8|CL 58B SUR No 77I 30|2400|N||2025-11-01 00:00:00||-74.17497855599999|4.604740047000064|UC|2018-12-17
Ciudad LÌmpia (ASE03)|24-0728|8|KR 77IBIS CON CL 58C SUR|2400|N||2025-11-01 00:00:00||-74.17532007999995|4.60455597400005|UC|2018-12-17
Ciudad LÌmpia (ASE03)|24-0758|8|KR 77J No 57H 03 SUR|2400|N||2025-11-01 00:00:00||-74.17364752899994|4.605583673000069|UC|2018-12-05
Ciudad LÌmpia (ASE03)|24-0507|8|KR 78 No 57D 22 SUR|2400|N||2025-11-01 00:00:00||-74.17307353099994|4.606885504000047|UC|2018-12-17
Ciudad LÌmpia (ASE03)|24-0645|8|CL 57C SUR No 77I 80|2400|N||2025-11-01 00:00:00||-74.17259618499997|4.605863351000039|UC|2018-12-05
Ciudad LÌmpia (ASE03)|24-0756|8|KR 77GBIS 57C 94 SUR|2400|N||2025-11-01 00:00:00||-74.17367576999999|4.603667576000021|UC|2018-11-30
Ciudad LÌmpia (ASE03)|24-0863|8|CL 57D SUR No 77I 91|2400|N||2025-11-01 00:00:00||-74.17316427599997|4.60592538100002|UC|2018-11-30
Ciudad LÌmpia (ASE03)|24-0540|8|KR 78 No 57D 22 SUR|2400|N||2025-11-01 00:00:00||-74.17317452699996|4.606836012000031|UC|2018-12-17
Ciudad LÌmpia (ASE03)|24-0564|8|KR 77J No 57J 10 SUR|2400|N||2025-11-01 00:00:00||-74.17439030899999|4.60526088000006|UC|2018-12-17
Ciudad LÌmpia (ASE03)|24-0331|8|KR 80 CON CL 54 SUR|2400|N||2025-11-01 00:00:00||-74.17371612899996|4.615369802000032|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0112|8|DG 54A SUR CON KR 77V BIS|2400|N||2025-11-01 00:00:00||-74.16981593399998|4.609749627000042|UC|2023-11-06
Ciudad LÌmpia (ASE03)|24-0489|8|TV 78H CON CL 43A SUR (AV PRIMERO DE MAYO)|2400|N||2025-11-01 00:00:00||-74.16383966399997|4.614573804000031|UC|2019-01-17
Ciudad LÌmpia (ASE03)|24-0474|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2023-01-31
Ciudad LÌmpia (ASE03)|24-0275|8|KR 77V BIS A CON CL 54A SUR|2400|N||2025-11-01 00:00:00||-74.17666624999998|4.607496498000046|UC|2019-01-17
Ciudad LÌmpia (ASE03)|24-0354|8|TV 78H CON CL 48 SUR (AV PRIMERO DE MAYO)|2400|N||2025-11-01 00:00:00||-74.16617671199998|4.61405478000006|UC|2025-07-02
Ciudad LÌmpia (ASE03)|24-0355|8|KR 78 CON CL 55 SUR|2400|N||2025-11-01 00:00:00||-74.17030683399997|4.608944654000027|UC|2023-11-06
Ciudad LÌmpia (ASE03)|24-0854|8|CL 55 SUR No 77K 01|2400|N||2025-11-01 00:00:00||-74.17021537599999|4.605808611000043|UC|2019-01-14
Ciudad LÌmpia (ASE03)|24-0445|8|CL 52 SUR CON KR 80I  ESQUINA|2400|N||2025-11-01 00:00:00||-74.17413836999998|4.618637725000042|UC|2025-07-02
Ciudad LÌmpia (ASE03)|24-0603|8|CL 57C SUR No 77K 65|2400|N||2025-11-01 00:00:00||-74.17246049199997|4.606881865000048|UC|2018-12-05
Ciudad LÌmpia (ASE03)|24-0356|8|TV 78HBIS 47B sur 12|2400|N||2025-11-01 00:00:00||-74.16562655699994|4.614467400000024|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0518|8|CL 37A SUR CON KR 90A ESQUINA|2400|N||2025-11-01 00:00:00||-74.16818643099998|4.6418045120000215|UC|2024-04-10
Ciudad LÌmpia (ASE03)|24-0928|8|CL 55 SUR No 77K 01|2400|N||2025-11-01 00:00:00||-74.17019136299996|4.605882296000061|UC|2019-02-07
Ciudad LÌmpia (ASE03)|24-0599|8|CL 57A SUR No 77K 91 (PARQUEADERO)|2400|N||2025-11-01 00:00:00||-74.17197768799997|4.607595778000075|UC|2018-12-05
Ciudad LÌmpia (ASE03)|24-0461|8|CL 38C SUR CON KR 78P ESQUINA|2400|N||2025-11-01 00:00:00||-74.14722535299995|4.614169349000065|UC|2020-09-11
Ciudad LÌmpia (ASE03)|24-0820|8|KR 77K CON CL 57A SUR|2400|N||2025-11-01 00:00:00||-74.17152540499995|4.60611089300005|UC|2018-11-30
Ciudad LÌmpia (ASE03)|24-0503|8|KR 77H CON CL 54C SUR|2400|N||2025-11-01 00:00:00||-74.16991234999995|4.604559864000066|UC|2019-01-14
Ciudad LÌmpia (ASE03)|24-0816|8|CL 57C SUR No 77I 80|2400|N||2025-11-01 00:00:00||-74.17259185299997|4.605898712000055|UC|2018-12-05
Ciudad LÌmpia (ASE03)|24-0823|8|CL 57C SUR No 77H 20|2400|N||2025-11-01 00:00:00||-74.17273009999997|4.604346431000067|UC|2018-12-05
Ciudad LÌmpia (ASE03)|24-0279|8|CL 55 SUR No 77K 01|2400|N||2025-11-01 00:00:00||-74.17020400399997|4.605848775000027|UC|2019-01-14
Ciudad LÌmpia (ASE03)|24-0369|8|DG 53B SUR CON KR 78L|2400|N||2025-11-01 00:00:00||-74.17105932899995|4.612196278000056|UC|2025-03-03
Ciudad LÌmpia (ASE03)|24-0448|8|CL 6 SUR CON KR 79|2400|N||2025-11-01 00:00:00||-74.15179130699994|4.630084901000032|UC|2025-03-06
Ciudad LÌmpia (ASE03)|24-0329|8|CL 47B SUR CON KR 79B ESQUINA|2400|N||2025-11-01 00:00:00||-74.16777854199995|4.616954969000062|UC|2019-01-17
Ciudad LÌmpia (ASE03)|24-0296|8|PENDIENTE REPOSICION EN ESPERA DE LINEAMIENTOS PRUEBA PILOTO POR PARTE DE UAESP|2400|N||2025-11-01 00:00:00||-74.16447335099997|4.6076393680000365|RE|2023-01-31
Ciudad LÌmpia (ASE03)|24-0720|8|CL 55 SUR No 77K 01|2400|N||2025-11-01 00:00:00||-74.17020914999995|4.605829939000046|UC|2019-01-14
